variance,maximum,det
0.004133666,0.766261706,sharp
0.010398204,0.901626501,sharp
0.00312935,1.010356897,sharp
0.012404697,1.501246079,sharp
0.021547546,1.637662301,sharp
0.002189654,1.008011077,sharp
0.016219447,1.26314508,sharp
0.032891584,1.191617298,sharp
0.01092553,1.273241294,sharp
0.004332546,1.012121529,sharp
0.003394304,0.628030683,sharp
0.003438597,0.885088787,sharp
0.00403524,1.397635979,sharp
0.015307083,1.230079126,sharp
0.004135017,1.47578031,sharp
0.011407768,1.647662167,sharp
0.001515597,1.464183028,sharp
0.004431422,1.230385616,sharp
0.004083349,1.162804861,sharp
0.005682272,0.892220671,sharp
0.011973457,1.325255173,sharp
0.007187607,0.973873719,sharp
0.003558675,1.069510535,sharp
0.005011444,1.246770783,sharp
0.006311196,0.846662205,sharp
0.001995163,1.185942175,sharp
0.004684785,0.987680464,sharp
0.005280842,0.790001172,sharp
0.008585604,1.455820162,sharp
0.006882404,1.259264969,sharp
0.021795179,1.276555323,sharp
0.00450061,1.324770629,sharp
0.001175247,0.711303147,sharp
0.005403122,0.889185522,sharp
0.002835094,1.413454899,sharp
0.002791131,1.061847708,sharp
0.008362636,0.712272804,sharp
0.003595793,0.936555852,sharp
0.001814937,0.851778307,sharp
0.002292333,1.36392868,sharp
0.011785091,1.119562534,sharp
0.010827609,1.057014148,sharp
0.002070881,0.822722965,sharp
0.003993623,1.250696255,sharp
0.011630829,1.102655756,sharp
0.000797392,0.786891482,sharp
0.003451461,1.478498411,sharp
0.002640191,0.466316344,sharp
0.002689321,0.894958855,sharp
0.00808511,1.063351106,sharp
0.006686593,1.170201529,sharp
0.000800381,1.621273563,sharp
0.00526376,0.869921363,sharp
0.004607926,1.022012549,sharp
0.006231839,0.939361314,sharp
0.00130029,0.924481706,sharp
0.026446034,1.425786135,sharp
0.004744527,1.331713473,sharp
0.002176319,0.612999896,sharp
0.001045939,0.80895807,sharp
0.003625283,0.918710462,sharp
0.015502419,1.306697754,sharp
0.004903188,0.400404612,sharp
0.008907552,1.311462205,sharp
0.008695652,1.031441895,sharp
0.039778751,1.765167585,sharp
0.006755141,0.786450906,sharp
0.02062875,1.390557493,sharp
0.003317703,0.688080001,sharp
0.014437437,1.553287284,sharp
0.018989789,1.33449769,sharp
0.00144233,1.02752928,sharp
0.00830352,1.322190422,sharp
0.003811249,1.330492262,sharp
0.008084716,1.173326751,sharp
0.004151009,1.695364452,sharp
0.006418068,0.637650122,sharp
0.005415258,1.560016443,sharp
0.005792794,1.181679599,sharp
0.013804784,1.164925502,sharp
0.004337524,1.162101629,sharp
0.006408925,1.12182315,sharp
0.009686072,1.19268713,sharp
0.002230075,1.530707385,sharp
0.004720569,1.031340026,sharp
0.00406068,1.198471944,sharp
0.006169719,1.605951073,sharp
0.012639257,1.086117475,sharp
0.002628465,0.976012165,sharp
0.034517322,1.483178724,sharp
0.011962854,1.405597232,sharp
0.009065558,1.245620974,sharp
0.012803226,1.36312658,sharp
0.003596705,1.108127241,sharp
0.005880923,1.077484097,sharp
0.003543833,0.963986401,sharp
0.00420912,1.591458671,sharp
0.006053529,0.712476477,sharp
0.006136892,1.149549017,sharp
0.017043296,0.674051865,sharp
0.005365332,0.899069202,sharp
